b,M,R_blocks,T_b,bound_N34_over_b_logC,ratio,exc_blocks,exc_fraction,max_block_abs,T
1,200000,448,-442,1409043.4890690101,0.00031368797587080885,0,0.0,65,3149.964521578251
2,100000,224,232,704521.7445345051,0.0003293014045340618,0,0.0,63,3149.964521578251
3,66666,150,-128,469681.1630230033,0.0002725253003040512,0,0.0,63,3149.964521578251
4,50000,112,-134,352260.87226725253,0.0003803998983410714,0,0.0,67,3149.964521578251
5,40000,90,308,281808.69781380205,0.001092940006427705,0,0.0,53,3149.964521578251
6,33333,75,57,234840.58151150166,0.0002427178455832956,0,0.0,45,3149.964521578251
7,28571,64,177,201291.92700985857,0.0008793199142622902,0,0.0,63,3149.964521578251
8,25000,56,156,176130.43613362627,0.0008857072259881662,0,0.0,45,3149.964521578251
9,22222,50,214,156560.38767433446,0.0013668847093375066,0,0.0,55,3149.964521578251
10,20000,45,-216,140904.34890690102,0.0015329548142102875,0,0.0,41,3149.964521578251
11,18181,41,49,128094.8626426373,0.0003825290022496968,0,0.0,47,3149.964521578251
12,16666,38,36,117420.29075575083,0.0003065909628420576,0,0.0,49,3149.964521578251
13,15384,35,82,108387.96069761616,0.0007565415888648921,0,0.0,31,3149.964521578251
14,14285,32,-145,100645.96350492928,0.0014406936448365206,0,0.0,49,3149.964521578251
15,13333,30,-77,93936.23260460068,0.0008197050048207789,0,0.0,57,3149.964521578251
16,12500,28,-120,88065.21806681313,0.0013626265015202557,0,0.0,39,3149.964521578251
17,11764,27,-64,82884.91112170648,0.0007721550175281449,0,0.0,43,3149.964521578251
18,11111,25,-89,78280.19383716723,0.0011369414872059633,0,0.0,59,3149.964521578251
19,10526,24,52,74160.18363521105,0.0007011848872406316,0,0.0,43,3149.964521578251
20,10000,23,148,70452.17445345051,0.0021007158565103943,0,0.0,59,3149.964521578251
21,9523,22,-151,67097.3090032862,0.0022504628314170476,0,0.0,47,3149.964521578251
22,9090,21,-92,64047.43132131865,0.0014364354370192695,0,0.0,37,3149.964521578251
23,8695,20,33,61262.76039430479,0.0005386632888822261,0,0.0,47,3149.964521578251
24,8333,19,-79,58710.145377875415,0.0013455936702512527,0,0.0,57,3149.964521578251
25,8000,18,-118,56361.7395627604,0.0020936188434816433,0,0.0,55,3149.964521578251
26,7692,18,22,54193.98034880808,0.0004059491452445762,0,0.0,31,3149.964521578251
27,7407,17,-51,52186.79589144482,0.0009772586940590584,0,0.0,49,3149.964521578251
28,7142,16,138,50322.98175246464,0.002742285834309515,0,0.0,53,3149.964521578251
29,6896,16,38,48587.70651962104,0.0007820908357683968,0,0.0,49,3149.964521578251
30,6666,15,62,46968.11630230034,0.0013200444233477477,0,0.0,61,3149.964521578251
31,6451,15,3,45453.015776419685,6.600222116738738e-05,0,0.0,51,3149.964521578251
32,6250,14,52,44032.60903340657,0.0011809429679842216,0,0.0,23,3149.964521578251
33,6060,14,72,42698.28754754576,0.0016862502956313166,0,0.0,39,3149.964521578251
34,5882,14,46,41442.45556085324,0.0011099728376967083,0,0.0,45,3149.964521578251
35,5714,13,-66,40258.38540197172,0.0016394100096415577,0,0.0,57,3149.964521578251
36,5555,13,53,39140.096918583615,0.0013541100858857542,0,0.0,55,3149.964521578251
37,5405,13,157,38082.2564613246,0.004122654868401648,0,0.0,55,3149.964521578251
38,5263,12,-123,37080.09181760553,0.0033171438896383728,0,0.0,59,3149.964521578251
39,5128,12,42,36129.32023253872,0.0011624907341094683,0,0.0,53,3149.964521578251
40,5000,12,-98,35226.087226725256,0.002782029107270522,0,0.0,25,3149.964521578251
41,4878,11,-36,34366.91436753683,0.0010475191230436966,0,0.0,25,3149.964521578251
42,4761,11,139,33548.6545016431,0.004143236206185028,0,0.0,29,3149.964521578251
43,4651,11,-9,32768.453234163026,0.00027465440421267656,0,0.0,25,3149.964521578251
44,4545,11,23,32023.715660659323,0.0007182177185096348,0,0.0,31,3149.964521578251
45,4444,10,16,31312.07753486689,0.0005109849380700959,0,0.0,59,3149.964521578251
46,4347,10,-11,30631.380197152394,0.0003591088592548174,0,0.0,33,3149.964521578251
47,4255,10,-43,29979.648703595958,0.0014343063331106443,0,0.0,47,3149.964521578251
48,4166,10,48,29355.072688937707,0.001635151801824307,0,0.0,33,3149.964521578251
49,4081,10,29,28755.98957283694,0.0010084855513855643,0,0.0,23,3149.964521578251
50,4000,9,84,28180.8697813802,0.00298074547207556,0,0.0,27,3149.964521578251
51,3921,9,-57,27628.303707235493,0.0020631016874580123,0,0.0,27,3149.964521578251
52,3846,9,38,27096.99017440404,0.0014023697744812633,0,0.0,27,3149.964521578251
53,3773,9,-37,26585.726208849246,0.0013917242549381364,0,0.0,27,3149.964521578251
54,3703,9,19,26093.39794572241,0.0007281535367498867,0,0.0,37,3149.964521578251
55,3636,9,-72,25618.972528527454,0.0028104171593855277,0,0.0,41,3149.964521578251
56,3571,8,-45,25161.49087623232,0.001788447283245336,0,0.0,39,3149.964521578251
57,3508,8,-48,24720.06121173702,0.0019417427646663645,0,0.0,33,3149.964521578251
58,3448,8,60,24293.85325981052,0.0024697605340054636,0,0.0,23,3149.964521578251
59,3389,8,7,23882.09303506797,0.00029310663808743,0,0.0,43,3149.964521578251
60,3333,8,-107,23484.05815115017,0.004556282364458355,0,0.0,43,3149.964521578251
61,3278,8,-8,23099.073591295244,0.00034633423580306507,0,0.0,29,3149.964521578251
62,3225,8,-11,22726.507888209842,0.0004840162885608408,0,0.0,31,3149.964521578251
63,3174,8,54,22365.769667762066,0.002414403832381203,0,0.0,39,3149.964521578251
64,3125,7,27,22016.304516703283,0.00122636385136823,0,0.0,65,3149.964521578251
65,3076,7,-72,21677.592139523233,0.003321402097455623,0,0.0,49,3149.964521578251
66,3030,7,10,21349.14377377288,0.0004684028598975879,0,0.0,11,3149.964521578251
67,2985,7,61,21030.4998368509,0.002900549224850669,0,0.0,33,3149.964521578251
68,2941,7,-75,20721.22778042662,0.0036194766446631796,0,0.0,41,3149.964521578251
69,2898,7,-34,20420.92013143493,0.0016649592565450625,0,0.0,49,3149.964521578251
70,2857,7,79,20129.19270098586,0.0039246482048994865,0,0.0,33,3149.964521578251
71,2816,7,16,19845.682944633947,0.0008062206800661512,0,0.0,23,3149.964521578251
72,2777,7,-57,19570.048459291807,0.0029126141469995467,0,0.0,41,3149.964521578251
73,2739,7,59,19301.965603685072,0.0030566835114831984,0,0.0,31,3149.964521578251
74,2702,7,-28,19041.1282306623,0.001470501099557276,0,0.0,21,3149.964521578251
75,2666,6,24,18787.246520920136,0.0012774623451752398,0,0.0,43,3149.964521578251
76,2631,6,53,18540.045908802764,0.0028586768479810366,0,0.0,45,3149.964521578251
77,2597,6,-83,18299.266091805326,0.004535701026674976,0,0.0,37,3149.964521578251
78,2564,6,-76,18064.66011626936,0.00420710932344379,0,0.0,55,3149.964521578251
79,2531,6,99,17835.993532519115,0.005550573889786417,0,0.0,33,3149.964521578251
80,2500,6,54,17613.043613362628,0.003065909628420575,0,0.0,29,3149.964521578251
81,2469,6,9,17395.598630481607,0.0005173722497959721,0,0.0,47,3149.964521578251
82,2439,6,19,17183.457183768416,0.0011057146298794574,0,0.0,19,3149.964521578251
83,2409,6,97,16976.4275791447,0.005713805189447698,0,0.0,45,3149.964521578251
84,2380,6,-68,16774.32725082155,0.004053813842022761,0,0.0,19,3149.964521578251
85,2352,6,-64,16576.982224341296,0.0038607750876407244,0,0.0,43,3149.964521578251
86,2325,6,-37,16384.226617081513,0.002258269545748674,0,0.0,35,3149.964521578251
87,2298,6,-70,16195.902173207012,0.004322080934509562,0,0.0,47,3149.964521578251
88,2272,6,-92,16011.857830329662,0.005745741748077078,0,0.0,35,3149.964521578251
89,2247,6,17,15831.949315382135,0.0010737780712500766,0,0.0,19,3149.964521578251
90,2222,5,-26,15656.038767433445,0.0016607010487278118,0,0.0,65,3149.964521578251
91,2197,5,-1,15483.994385373737,6.458281856163712e-05,0,0.0,21,3149.964521578251
92,2173,5,85,15315.690098576197,0.005549864188483542,0,0.0,23,3149.964521578251
93,2150,5,62,15151.00525880656,0.004092137712378019,0,0.0,54,3149.964521578251
94,2127,5,25,14989.824351797979,0.0016677980617565633,0,0.0,47,3149.964521578251
95,2105,5,77,14832.036727042212,0.005191465030531599,0,0.0,35,3149.964521578251
96,2083,5,-41,14677.536344468854,0.0027933843281165247,0,0.0,27,3149.964521578251
97,2061,5,27,14526.221536793919,0.0018587077122299738,0,0.0,21,3149.964521578251
98,2040,5,14,14377.99478641847,0.0009737101875446827,0,0.0,23,3149.964521578251
99,2020,5,-36,14232.762515848588,0.0025293754434469744,0,0.0,31,3149.964521578251
100,2000,5,-12,14090.4348906901,0.00085164156345016,0,0.0,13,3149.964521578251
101,1980,5,-24,13950.925634346633,0.001720315958169323,0,0.0,39,3149.964521578251
102,1960,5,-6,13814.151853617746,0.0004343371973595815,0,0.0,19,3149.964521578251
103,1941,5,37,13680.033874456409,0.002704671665257133,0,0.0,29,3149.964521578251
104,1923,5,1,13548.49508720202,7.380893549901386e-05,0,0.0,29,3149.964521578251
105,1904,5,14,13419.461800657238,0.001043260915226446,0,0.0,17,3149.964521578251
106,1886,5,24,13292.863104424623,0.001805480114514339,0,0.0,35,3149.964521578251
107,1869,5,9,13168.63073896271,0.0006834423546687533,0,0.0,31,3149.964521578251
108,1851,5,13,13046.698972861204,0.000996420629236687,0,0.0,47,3149.964521578251
109,1834,5,24,12927.004486871654,0.0018565786083213482,0,0.0,7,3149.964521578251
110,1818,5,66,12809.486264263727,0.005152431458873468,0,0.0,25,3149.964521578251
111,1801,5,-73,12694.085487108197,0.005750709657197205,0,0.0,25,3149.964521578251
112,1785,4,33,12580.74543811616,0.0026230560154264925,0,0.0,23,3149.964521578251
113,1769,4,95,12469.411407690355,0.007618643486364555,0,0.0,57,3149.964521578251
114,1754,4,24,12360.03060586851,0.0019417427646663645,0,0.0,19,3149.964521578251
115,1739,4,-39,12252.552078860957,0.0031830103433949726,0,0.0,50,3149.964521578251
116,1724,4,-8,12146.92662990526,0.0006586028090681236,0,0.0,17,3149.964521578251
117,1709,4,-19,12043.106744179573,0.0015776659962914211,0,0.0,43,3149.964521578251
118,1694,4,-20,11941.046517533985,0.0016748950747853143,0,0.0,13,3149.964521578251
119,1680,4,44,11840.701588815211,0.0037159960218541973,0,0.0,39,3149.964521578251
120,1666,4,98,11742.029075575085,0.008346087321811566,0,0.0,49,3149.964521578251
121,1652,4,82,11644.987512967025,0.007041656327127072,0,0.0,35,3149.964521578251
122,1639,4,39,11549.536795647622,0.0033767587990798844,0,0.0,17,3149.964521578251
123,1626,4,-8,11455.638122512277,0.0006983460820291311,0,0.0,17,3149.964521578251
124,1612,4,-40,11363.253944104921,0.0035201184622606603,0,0.0,31,3149.964521578251
125,1600,4,32,11272.34791255208,0.002838805211500533,0,0.0,17,3149.964521578251
126,1587,4,-79,11182.884833881033,0.007064366768819076,0,0.0,45,3149.964521578251
127,1574,4,-4,11094.83062259063,0.00036052826186056767,0,0.0,19,3149.964521578251
128,1562,4,-26,11008.152258351642,0.002361885935968443,0,0.0,19,3149.964521578251
129,1550,4,48,10922.81774472101,0.004394470467402825,0,0.0,29,3149.964521578251
130,1538,4,62,10838.796069761616,0.005720192501173574,0,0.0,29,3149.964521578251
131,1526,4,92,10756.057168465726,0.008553320102251105,0,0.0,55,3149.964521578251
